winner,turns,largest_army,longest_road,points_0,points_1,points_2,points_3,smart,trial
,200,1.0,1.0,4,6,8,3,2,0
1.0,150,1.0,1.0,3,12,4,3,1,1
2.0,191,2.0,2.0,7,3,10,3,0,2
2.0,87,2.0,2.0,5,3,10,2,2,3
0.0,149,1.0,2.0,11,5,4,5,0,4
0.0,145,0.0,3.0,10,6,4,7,0,5
0.0,61,,0.0,10,2,2,6,0,6
1.0,142,1.0,0.0,6,10,3,9,0,7
0.0,97,,2.0,10,4,4,6,0,8
1.0,102,,1.0,3,10,2,4,1,9
3.0,116,1.0,3.0,2,7,7,10,2,10
1.0,166,0.0,1.0,7,10,5,7,3,11
1.0,82,,0.0,8,10,3,4,0,12
2.0,143,1.0,2.0,7,7,10,6,2,13
2.0,167,1.0,2.0,7,5,11,3,0,14
,200,,2.0,4,6,8,9,3,15
2.0,143,,2.0,6,3,10,2,2,16
3.0,160,2.0,3.0,3,2,9,10,0,17
0.0,97,,0.0,11,4,3,2,1,18
0.0,125,2.0,0.0,10,6,9,2,0,19
1.0,114,,1.0,5,10,2,7,1,20
0.0,105,,0.0,10,3,8,4,0,21
0.0,85,,0.0,10,4,6,3,2,22
0.0,105,,0.0,10,4,6,2,1,23
3.0,124,1.0,2.0,6,7,8,10,2,24
3.0,180,,3.0,7,7,2,10,1,25
3.0,68,,3.0,4,2,2,10,0,26
1.0,166,2.0,2.0,5,10,7,4,1,27
0.0,125,3.0,0.0,10,3,2,8,3,28
2.0,123,1.0,2.0,6,4,10,2,2,29
0.0,93,,2.0,10,4,4,3,2,30
3.0,156,2.0,3.0,2,3,9,10,1,31
3.0,100,3.0,3.0,4,5,3,10,1,32
3.0,148,,0.0,8,4,5,10,2,33
3.0,136,,0.0,7,2,7,10,2,34
0.0,129,3.0,0.0,10,4,2,7,0,35
1.0,114,,1.0,4,10,6,3,1,36
3.0,132,0.0,3.0,9,4,3,10,0,37
3.0,108,,3.0,8,2,2,10,0,38
2.0,83,,2.0,2,3,10,2,2,39
1.0,90,,1.0,2,11,4,2,2,40
1.0,114,,2.0,4,10,5,4,0,41
1.0,106,2.0,2.0,4,10,9,4,3,42
2.0,115,,2.0,4,8,11,4,1,43
0.0,117,,0.0,10,3,6,3,0,44
1.0,178,1.0,1.0,6,10,4,8,2,45
3.0,140,,3.0,2,3,9,10,3,46
0.0,141,,0.0,10,4,8,2,2,47
3.0,156,3.0,3.0,5,3,6,11,2,48
3.0,60,,,3,4,2,10,0,49
0.0,165,3.0,1.0,11,6,5,8,0,50
3.0,112,3.0,3.0,2,4,9,10,2,51
3.0,100,,3.0,7,4,6,10,0,52
